column,dtype,non_null,missing,unique
customerID,str,7043,0,7043
gender,str,7043,0,2
SeniorCitizen,int64,7043,0,2
Partner,str,7043,0,2
Dependents,str,7043,0,2
tenure,int64,7043,0,73
PhoneService,str,7043,0,2
MultipleLines,str,7043,0,3
InternetService,str,7043,0,3
OnlineSecurity,str,7043,0,3
OnlineBackup,str,7043,0,3
DeviceProtection,str,7043,0,3
TechSupport,str,7043,0,3
StreamingTV,str,7043,0,3
StreamingMovies,str,7043,0,3
Contract,str,7043,0,3
PaperlessBilling,str,7043,0,2
PaymentMethod,str,7043,0,4
MonthlyCharges,float64,7043,0,1585
TotalCharges,str,7043,0,6531
Churn,str,7043,0,2
